Item,Week #,Regular Price,Special Price,"Units Sold
Last Week","Units Sold
This Week",Promo Spend,"Incremental 
Revenue",Promo ROI
ECONO NECTAR PERA 48/7.1oz,2,$0.79,$0.60,215,360,$68,$46,0.7
ECONO NECTAR PERA 48/7.1oz,5,$0.79,$0.60,157,252,$48,$27,0.6
ECONO NECTAR PERA 48/7.1oz,6,$0.79,$0.60,252,312,$59,-$12,-0.2
ECONO NECTAR PERA 48/7.1oz,7,$0.79,$0.60,312,413,$78,$1,0.0
ECONO NECTAR PERA 48/7.1oz,10,$0.79,$0.60,111,329,$63,$110,1.8
ECONO NECTAR PERA 48/7.1oz,11,$0.79,$0.60,329,292,$55,-$85,-1.5
ECONO NECTAR MELOCOTON 48/7.1oz,2,$0.79,$0.60,341,381,$72,-$41,-0.6
ECONO NECTAR MELOCOTON 48/7.1oz,5,$0.79,$0.60,238,239,$45,-$45,-1.0
ECONO NECTAR MELOCOTON 48/7.1oz,6,$0.79,$0.60,239,266,$51,-$29,-0.6
ECONO NECTAR MELOCOTON 48/7.1oz,7,$0.79,$0.60,266,394,$75,$26,0.4
ECONO NECTAR MELOCOTON 48/7.1oz,10,$0.79,$0.60,200,247,$47,-$10,-0.2
ECONO NECTAR MELOCOTON 48/7.1oz,11,$0.79,$0.60,247,283,$54,-$25,-0.5
ECONO NECTAR GUAYABA 48/7.1oz,2,$0.79,$0.60,405,459,$87,-$45,-0.5
ECONO NECTAR GUAYABA 48/7.1oz,5,$0.79,$0.60,280,292,$55,-$46,-0.8
ECONO NECTAR GUAYABA 48/7.1oz,6,$0.79,$0.60,292,363,$69,-$13,-0.2
ECONO NECTAR GUAYABA 48/7.1oz,7,$0.79,$0.60,363,481,$91,$2,0.0
ECONO NECTAR GUAYABA 48/7.1oz,10,$0.79,$0.60,221,392,$74,$61,0.8
ECONO NECTAR GUAYABA 48/7.1oz,11,$0.79,$0.60,392,384,$73,-$79,-1.1
ECONO JUGO DE PINA 48/7.1oz,2,$0.79,$0.60,301,363,$69,-$20,-0.3
ECONO JUGO DE PINA 48/7.1oz,5,$0.79,$0.60,198,259,$49,-$1,0.0
ECONO JUGO DE PINA 48/7.1oz,6,$0.79,$0.60,259,392,$74,$31,0.4
ECONO JUGO DE PINA 48/7.1oz,7,$0.79,$0.60,392,367,$70,-$89,-1.3
ECONO JUGO DE PINA 48/7.1oz,10,$0.79,$0.60,138,272,$52,$54,1.0
