,upc_clean,promo_period,Item_Description,Promo_Start_Week,Promo_End_Week,Promo_Weeks,Regular_Price,Special_Price,Unit_Cost,Baseline_Units,Promo_Units,Baseline_Revenue,Promo_Revenue,Incremental_Revenue,Promo_Spend,ROI,Lift,Breakeven_Lift
0,1000980012402,10_11,FERRERO ROCHER T24 6/10.6oz,10,11,2,11.99,9.98,9.04,0.0,0.0,0.0,0.0,0.0,0.0,,,
1,1000980020148,10_11,FERRERO COLLECTION T24 6/9.1oz,10,11,2,11.99,9.98,9.04,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,1000980082013,10_11,NUTELLA B-READY T6 16/4.65oz,10,11,2,3.99,3.28,2.53,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,1000980082013,6_7,NUTELLA B-READY T6 16/4.65oz,6,7,2,3.99,2.98,2.53,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,1000980082013,8_9,NUTELLA B-READY T6 16/4.65oz,8,9,2,3.99,2.98,2.53,0.0,0.0,0.0,0.0,0.0,0.0,,,
5,1001070006696,6_7,WHOPPERS ROBIN EGGS MINIS 24/9oz,6,7,2,2.99,2.28,1.86,0.0,0.0,0.0,0.0,0.0,0.0,,,
6,1001600020711,10_11,BETTY CROCKER SPR MOIST CAKE MIX YELLOW 12/13.25oz,10,11,2,2.99,2.68,2.31,0.0,0.0,0.0,0.0,0.0,0.0,,,
7,1001600020755,10_11,BETTY CROCKER SPR MOIST CAKE MIX RED VELVET 12/13.25oz,10,11,2,2.99,2.68,2.31,0.0,0.0,0.0,0.0,0.0,0.0,,,
8,1001600020756,10_11,BETTY CROCKER SPR MOIST CAKE MIX CHERY CHIPS 12/13.25oz,10,11,2,2.99,2.68,2.31,0.0,0.0,0.0,0.0,0.0,0.0,,,
9,1001600020757,10_11,BETTY CROCKER SPR MOIST CAKE MIX P RAINBOW CHIP 12/13.25oz,10,11,2,2.99,2.68,2.31,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,1001600020761,10_11,BETTY CROCKER SPR MOIST CAKE MIX BUTTER REC YLLW 12/13.25oz,10,11,2,2.99,2.68,2.31,0.0,0.0,0.0,0.0,0.0,0.0,,,
