,week_number,upc_clean,Item_Description,Regular_Price,Special_Price,Unit_Cost,units_sold,promo_flag,discount_per_unit,promo_spend,unit_margin,promo_margin,gross_profit
0,1,1192,,,,,0.0,False,,0.0,,,
1,2,1192,,,,,0.0,False,,0.0,,,
2,3,1192,,,,,0.0,False,,0.0,,,
3,4,1192,,,,,0.0,False,,0.0,,,
4,5,1192,,,,,0.0,False,,0.0,,,
5,6,1192,,,,,0.0,False,,0.0,,,
6,7,1192,,,,,0.0,False,,0.0,,,
7,8,1192,,,,,0.0,False,,0.0,,,
8,9,1192,,,,,0.0,False,,0.0,,,
9,10,1192,,,,,0.0,False,,0.0,,,
10,11,1192,,,,,0.0,False,,0.0,,,
11,12,1192,,,,,0.0,False,,0.0,,,
12,1,1256,,,,,0.0,False,,0.0,,,
13,2,1256,,,,,0.0,False,,0.0,,,
14,3,1256,,,,,0.0,False,,0.0,,,
15,4,1256,,,,,0.0,False,,0.0,,,
16,5,1256,,,,,0.0,False,,0.0,,,
17,6,1256,,,,,0.0,False,,0.0,,,
18,7,1256,,,,,0.0,False,,0.0,,,
19,8,1256,,,,,0.0,False,,0.0,,,
20,9,1256,,,,,0.0,False,,0.0,,,
21,10,1256,,,,,0.0,False,,0.0,,,
22,11,1256,,,,,0.0,False,,0.0,,,
23,1,20110300000,,,,,0.0,False,,0.0,,,
24,2,20110300000,,,,,0.0,False,,0.0,,,
25,3,20110300000,,,,,1.0,False,,0.0,,,
26,4,20110300000,,,,,0.0,False,,0.0,,,
27,5,20110300000,,,,,0.0,False,,0.0,,,
28,6,20110300000,,,,,1.0,False,,0.0,,,
29,7,20110300000,,,,,3.0,False,,0.0,,,
30,8,20110300000,,,,,0.0,False,,0.0,,,
31,9,20110300000,,,,,1.0,False,,0.0,,,
32,10,20110300000,,,,,1.0,False,,0.0,,,
33,11,20110300000,,,,,0.0,False,,0.0,,,
34,12,20110300000,,,,,0.0,False,,0.0,,,
35,13,20110300000,,,,,1.0,False,,0.0,,,
36,14,20110300000,,,,,1.0,False,,0.0,,,
37,1,20110400000,,,,,0.0,False,,0.0,,,
38,2,20110400000,,,,,2.0,False,,0.0,,,
39,3,20110400000,,,,,0.0,False,,0.0,,,
40,4,20110400000,,,,,0.0,False,,0.0,,,
41,5,20110400000,,,,,0.0,False,,0.0,,,
42,6,20110400000,,,,,1.0,False,,0.0,,,
43,7,20110400000,,,,,1.0,False,,0.0,,,
44,8,20110400000,,,,,1.0,False,,0.0,,,
45,9,20110400000,,,,,2.0,False,,0.0,,,
46,10,20110400000,,,,,0.0,False,,0.0,,,
47,11,20110400000,,,,,0.0,False,,0.0,,,
48,12,20110400000,,,,,0.0,False,,0.0,,,
49,13,20110400000,,,,,1.0,False,,0.0,,,
50,14,20110400000,,,,,0.0,False,,0.0,,,
51,1,20111200000,,,,,0.0,False,,0.0,,,
52,2,20111200000,,,,,0.0,False,,0.0,,,
53,3,20111200000,,,,,0.0,False,,0.0,,,
54,4,20111200000,,,,,0.0,False,,0.0,,,
55,5,20111200000,,,,,0.0,False,,0.0,,,
56,6,20111200000,,,,,0.0,False,,0.0,,,
57,7,20111200000,,,,,0.0,False,,0.0,,,
58,8,20111200000,,,,,0.0,False,,0.0,,,
